image_id,text,len_words,text_lower,avg_img,width_img,height_img,tirets,ponctuation,top_100
a01-003x-02-01,the,3,the,217.68588751289988,102,76,False,True,True
a01-003x-02-05,Mr.,3,mr.,217.49513991163482,97,70,False,True,True
a01-003x-03-00,will,4,will,209.36858536585362,125,82,False,True,True
a01-003x-03-01,be,2,be,205.86585794655412,72,79,False,True,True
a01-003x-03-02,that,4,that,214.9374540103017,151,81,False,True,True
a01-003x-03-03,as,2,as,188.2257575757576,66,40,False,True,True
a01-003x-03-07,the,3,the,211.46076746849945,97,72,False,True,True
a01-003x-04-02,which,5,which,210.2071031236628,171,82,False,True,True
a01-003x-04-06,into,4,into,217.48498249493275,134,81,False,True,True
a01-003x-04-09,they,4,they,219.83296875,128,150,False,True,True
a01-003x-05-01,not,3,not,225.6995144758137,134,83,False,True,True
a01-003x-05-02,now,3,now,216.01455026455025,144,63,False,True,True
a01-003x-05-07,He,2,he,210.94811046511632,80,86,False,True,True
a01-003x-06-00,that,4,that,219.18455834945203,141,88,False,True,True
a01-003x-06-01,the,3,the,216.37072368421056,76,80,False,True,True
a01-003x-06-03,of,2,of,221.08919523977852,69,123,False,True,True
a01-003x-06-06,be,2,be,218.2224996532113,89,81,False,True,True
a01-003x-06-08,and,3,and,211.0861780455154,166,72,False,True,True
a01-003x-07-00,that,4,that,211.71832146871486,157,85,False,True,True
a01-003x-07-03,not,3,not,226.13274682306943,155,99,False,True,True
a01-003x-07-05,any,3,any,215.3135365307037,138,97,False,True,True
a01-003x-07-07,which,5,which,220.2330484330484,195,81,False,True,True
a01-003x-07-08,would,5,would,210.72078544061299,216,87,False,True,True
a01-003x-08-01,to,2,to,205.2412005028284,74,86,False,True,True
a01-003x-08-04,up,2,up,215.6789413118527,88,79,False,True,True
a01-003x-08-06,an,2,an,195.306905370844,92,51,False,True,True
a01-007-00-07,and,3,and,226.92448860315602,145,59,False,True,True
a01-007-01-01,have,4,have,231.95402385625852,179,74,False,True,True
a01-007-01-02,been,4,been,229.9135723431498,154,71,False,True,True
a01-007-02-01,would,5,would,230.73534482758618,232,70,False,True,True
a01-007-02-05,the,3,the,231.9016806722689,119,80,False,True,True
a01-007-03-00,of,2,of,231.38838812301162,82,92,False,True,True
a01-007-03-01,the,3,the,227.05845588235292,120,68,False,True,True
a01-007-03-03,of,2,of,232.78404255319145,90,94,False,True,True
a01-007-03-06,but,3,but,232.84286065775444,137,89,False,True,True
a01-007-03-08,it,2,it,231.9126196990424,86,68,False,True,True
a01-007-04-01,has,3,has,231.67783882783885,140,78,False,True,True
a01-007-04-02,to,2,to,226.4339488636364,88,80,False,True,True
a01-007-04-03,have,4,have,235.5171536732521,214,79,False,True,True
a01-007-04-04,an,2,an,213.91408934707906,97,30,False,True,True
a01-007-04-07,of,2,of,231.51295938104445,94,110,False,True,True
a01-007-05-03,two,3,two,231.220156555773,168,73,False,True,True
a01-007-06-01,of,2,of,233.89889039855072,92,96,False,True,True
a01-007-06-04,have,4,have,233.04327187671984,158,92,False,True,True
a01-007-06-06,to,2,to,238.05060405744248,107,82,False,True,True
a01-007-07-02,to,2,to,235.43040293040286,91,66,False,True,True
a01-007-07-04,the,3,the,224.49154691462383,104,91,False,True,True
a01-007-07-06,from,4,from,236.12993762993764,148,117,False,True,True
a01-007-08-03,the,3,the,224.08867388602883,131,86,False,True,True
a01-007u-00-07,and,3,and,199.5336976320583,183,42,False,True,True
a01-007u-01-01,have,4,have,187.78330041694096,217,42,False,True,True
a01-007u-01-02,been,4,been,195.95353846153847,195,50,False,True,True
a01-007u-02-01,would,5,would,202.006734006734,264,54,False,True,True
a01-007u-02-04,the,3,the,196.83109040717738,126,46,False,True,True
a01-007u-03-00,of,2,of,200.24031007751938,86,87,False,True,True
a01-007u-03-01,the,3,the,203.4122159090909,128,55,False,True,True
a01-007u-03-03,of,2,of,183.50105042016807,70,68,False,True,True
a01-007u-03-06,but,3,but,194.57766081871347,150,57,False,True,True
a01-007u-03-08,it,2,it,195.318614489688,61,62,False,True,True
a01-007u-04-01,has,3,has,187.17522066034653,133,46,False,True,True
a01-007u-04-02,to,2,to,188.7204152249135,85,51,False,True,True
a01-007u-04-03,have,4,have,199.91029970451663,206,46,False,True,True
a01-007u-04-04,an,2,an,184.09172976121138,101,34,False,True,True
a01-007u-05-00,of,2,of,185.42151898734176,80,79,False,True,True
a01-007u-05-04,two,3,two,204.10406656510017,161,53,False,True,True
a01-007u-06-02,of,2,of,197.14111111111112,84,75,False,True,True
a01-007u-07-00,have,4,have,205.0573891625616,210,58,False,True,True
a01-007u-07-02,to,2,to,199.23275862068962,90,58,False,True,True
a01-007u-07-05,to,2,to,189.6083333333333,80,48,False,True,True
a01-007u-08-00,the,3,the,202.9735280151947,162,52,False,True,True
a01-007u-08-02,from,4,from,214.74326059050065,152,82,False,True,True
a01-007u-09-00,the,3,the,216.8154186973859,185,61,False,True,True
a01-007x-00-07,and,3,and,216.090966066792,153,73,False,True,True
a01-007x-01-01,have,4,have,224.54533668878213,141,93,False,True,True
a01-007x-01-02,been,4,been,217.52924382716046,144,90,False,True,True
a01-007x-02-00,would,5,would,219.69454638124364,218,90,False,True,True
a01-007x-02-03,the,3,the,222.19595074591518,103,82,False,True,True
a01-007x-02-05,of,2,of,222.17121183022854,82,127,False,True,True
a01-007x-02-06,the,3,the,215.21593319194062,92,82,False,True,True
a01-007x-03-00,of,2,of,214.6532468890516,73,131,False,True,True
a01-007x-03-03,but,3,but,215.51230541141587,142,95,False,True,True
a01-007x-03-05,it,2,it,227.6779609279609,78,84,False,True,True
a01-007x-03-08,has,3,has,218.75513538748837,102,84,False,True,True
a01-007x-03-09,to,2,to,210.21929824561403,72,76,False,True,True
a01-007x-04-00,have,4,have,217.99532188241864,154,93,False,True,True
a01-007x-04-01,an,2,an,186.0682670667667,93,43,False,True,True
a01-007x-04-04,of,2,of,211.2473145780051,85,138,False,True,True
a01-007x-05-00,two,3,two,226.82802496798976,142,88,False,True,True
a01-007x-05-05,of,2,of,219.65063414634147,82,125,False,True,True
a01-007x-06-01,have,4,have,226.49177345356748,147,86,False,True,True
a01-007x-06-03,to,2,to,218.82239382239385,84,74,False,True,True
a01-007x-06-06,to,2,to,213.21789383561645,64,73,False,True,True
a01-007x-06-08,the,3,the,219.1453755131611,101,82,False,True,True
a01-007x-07-01,from,4,from,220.4688209093201,163,146,False,True,True
a01-007x-07-06,the,3,the,218.50716524854457,116,77,False,True,True
a01-011-00-01,from,4,from,218.08812462372063,151,88,False,True,True
a01-011-00-02,Mr.,3,mr.,199.0602716468591,76,62,False,True,True
a01-011-01-01,(,1,(,214.1343060231949,33,81,False,True,True
a01-011-01-04,),1,),197.98376623376626,22,84,False,True,True
a01-011-01-05,and,3,and,210.74131652661063,119,60,False,True,True
a01-011-01-06,Mr.,3,mr.,208.79398762157382,78,58,False,True,True
a01-011-02-02,(,1,(,222.43226381461682,34,66,False,True,True
a01-011-02-04,),1,),209.96322378716744,36,71,False,True,True
a01-011-02-05,will,4,will,209.43532338308455,132,67,False,True,True
a01-011-02-07,in,2,in,218.97543859649122,80,57,False,True,True
a01-011-03-00,to,2,to,205.21155462184876,68,70,False,True,True
a01-011-03-02,a,1,a,198.61074561403512,48,38,False,True,True
a01-011-03-05,of,2,of,203.9062753036437,65,76,False,True,True
a01-011-03-10,is,2,is,220.050684079602,48,67,False,True,True
a01-011-04-02,to,2,to,210.1303241133548,83,71,False,True,True
a01-011-04-05,an,2,an,191.1362162162162,75,37,False,True,True
a01-011-05-00,in,2,in,220.17274788703358,63,77,False,True,True
a01-011-05-04,but,3,but,211.81,136,75,False,True,True
a01-011-05-05,the,3,the,210.37960113960116,117,75,False,True,True
a01-011-06-00,Mr.,3,mr.,204.6668656716418,75,67,False,True,True
a01-011-06-04,is,2,is,219.92435897435897,60,65,False,True,True
a01-011-06-06,on,2,on,194.1018087855297,90,43,False,True,True
a01-011-06-07,a,1,a,199.93593073593075,55,42,False,True,True
a01-011-06-09,of,2,of,207.0343137254902,66,68,False,True,True
a01-011u-00-01,from,4,from,213.6619559563031,158,73,False,True,True
a01-011u-00-02,Mr.,3,mr.,218.18458393458397,126,66,False,True,True
a01-011u-02-00,(,1,(,172.87087517934003,17,82,False,True,True
a01-011u-02-03,),1,),173.10453216374268,19,72,False,True,True
a01-011u-02-04,and,3,and,199.3758805297267,169,42,False,True,True
a01-011u-02-05,Mr.,3,mr.,210.31149253731343,134,50,False,True,True
a01-011u-03-03,(,1,(,180.02448979591838,20,98,False,True,True
a01-011u-03-05,),1,),167.26840696117804,18,83,False,True,True
a01-011u-03-06,will,4,will,212.68687424359115,149,61,False,True,True
a01-011u-04-01,in,2,in,215.41828703703706,72,60,False,True,True
a01-011u-04-04,to,2,to,198.27426160337555,79,54,False,True,True
a01-011u-04-06,a,1,a,174.00344827586207,60,29,False,True,True
a01-011u-05-01,of,2,of,189.44310977644315,81,74,False,True,True
a01-011u-05-06,is,2,is,203.8465909090909,48,66,False,True,True
a01-011u-06-01,to,2,to,190.32293697205975,81,57,False,True,True
a01-011u-06-04,an,2,an,206.5443910048096,157,49,False,True,True
a01-011u-07-01,in,2,in,222.9705758722152,78,61,False,True,True
a01-011u-07-05,but,3,but,205.25286617379192,153,61,False,True,True
a01-011u-07-06,the,3,the,210.59402441636325,161,58,False,True,True
a01-011u-08-03,Mr.,3,mr.,216.5379012345679,150,54,False,True,True
a01-011u-09-00,is,2,is,212.29818181818183,55,75,False,True,True
a01-011u-09-02,on,2,on,181.474645030426,87,34,False,True,True
a01-011u-09-03,a,1,a,164.28580246913583,54,30,False,True,True
a01-011u-09-05,of,2,of,200.65382395382397,99,70,False,True,True
a01-011x-00-01,from,4,from,228.6604683195592,168,121,False,True,True
a01-011x-00-02,Mr.,3,mr.,214.80706256109482,93,88,False,True,True
a01-011x-01-03,(,1,(,205.9944341372913,28,77,False,True,True
a01-011x-01-06,),1,),215.8956968022108,149,85,False,True,True
a01-011x-02-00,and,3,and,204.34567110655738,128,61,False,True,True
a01-011x-02-01,Mr.,3,mr.,215.54050179211467,93,75,False,True,True
a01-011x-03-01,(,1,(,202.57231800766286,29,72,False,True,True
a01-011x-03-03,),1,),196.64274691358025,72,54,False,True,True
a01-011x-03-04,will,4,will,204.8387654320988,50,81,False,True,True
a01-011x-03-06,in,2,in,214.36463844797177,63,72,False,True,True
a01-011x-04-00,to,2,to,199.5973731884058,69,64,False,True,True
a01-011x-04-02,a,1,a,193.62218468468467,37,48,False,True,True
a01-011x-04-05,of,2,of,218.16738141650418,81,95,False,True,True
a01-011x-05-02,is,2,is,215.35004530353368,43,77,False,True,True
a01-011x-05-05,to,2,to,203.0603550295858,65,65,False,True,True
a01-011x-06-01,an,2,an,203.74508301404853,87,45,False,True,True
a01-011x-06-04,in,2,in,218.45156369183832,57,69,False,True,True
a01-011x-07-02,but,3,but,209.9935786185352,134,86,False,True,True
a01-011x-07-03,the,3,the,193.18983733020286,89,67,False,True,True
a01-011x-07-07,Mr.,3,mr.,224.6617760617761,185,84,False,True,True
a01-011x-08-02,is,2,is,210.7322262584328,47,82,False,True,True
a01-011x-08-04,on,2,on,183.50237341772151,79,48,False,True,True
a01-011x-08-05,a,1,a,183.46581632653061,40,49,False,True,True
a01-011x-08-07,of,2,of,200.6766030736619,74,102,False,True,True
a01-014-00-05,is,2,is,225.2170673076923,65,64,False,True,True
a01-014-01-00,the,3,the,215.29404111371326,126,61,False,True,True
a01-014-01-03,on,2,on,206.19867986798678,101,30,False,True,True
a01-014-01-04,the,3,the,225.34638314785374,148,68,False,True,True
a01-014-02-03,Mr.,3,mr.,216.71666666666667,119,60,False,True,True
a01-014-03-01,We,2,we,211.9266304347826,92,52,False,True,True
a01-014-03-03,to,2,to,214.48708133971286,95,55,False,True,True
a01-014-03-05,what,4,what,227.5153621495327,214,80,False,True,True
a01-014-03-06,to,2,to,222.29429892141758,99,59,False,True,True
a01-014-03-07,do,2,do,219.7705078125,96,64,False,True,True
a01-014-03-08,if,2,if,226.000469043152,82,130,False,True,True
a01-014-03-09,the,3,the,219.74881149806527,135,67,False,True,True
a01-014-04-03,in,2,in,235.51049645390069,94,75,False,True,True
a01-014-04-04,to,2,to,223.97263501268574,89,62,False,True,True
a01-014-04-07,and,3,and,225.78348554033485,180,73,False,True,True
a01-014-05-00,the,3,the,212.29823975044565,132,68,False,True,True
a01-014-05-06,are,3,are,206.2315436241611,149,40,False,True,True
a01-014-06-00,to,2,to,213.31708551189067,77,77,False,True,True
a01-014-06-01,be,2,be,214.48108108108107,90,74,False,True,True
a01-014-07-03,Mr.,3,mr.,219.5703498615656,137,58,False,True,True
a01-014-08-00,his,3,his,222.72261975750348,117,86,False,True,True
a01-014-08-02,a,1,a,204.0270833333333,64,30,False,True,True
a01-014-08-04,on,2,on,209.22162356321843,96,29,False,True,True
a01-014-08-05,his,3,his,230.27145454545453,125,88,False,True,True
a01-014-08-07,with,4,with,231.22041018038053,213,95,False,True,True
a01-014-09-00,Mr.,3,mr.,218.876953125,112,64,False,True,True
a01-014-09-02,at,2,at,217.02260569456428,95,61,False,True,True
a01-014u-00-05,is,2,is,215.4473823373876,62,61,False,True,True
a01-014u-01-01,the,3,the,210.0768058161351,164,52,False,True,True
a01-014u-01-04,on,2,on,184.63599257884968,77,35,False,True,True
a01-014u-01-05,the,3,the,215.1917670682731,166,60,False,True,True
a01-014u-02-04,Mr.,3,mr.,209.43590100111237,124,58,False,True,True
a01-014u-03-04,We,2,we,205.18644957983196,112,51,False,True,True
a01-014u-03-06,to,2,to,200.3228021978022,78,56,False,True,True
a01-014u-03-08,what,4,what,208.82202982202983,198,63,False,True,True
a01-014u-03-09,to,2,to,206.26778752436647,76,54,False,True,True
a01-014u-04-00,do,2,do,184.79833223612027,93,49,False,True,True
a01-014u-04-01,if,2,if,201.17706237424545,71,70,False,True,True
a01-014u-04-02,the,3,the,210.86849020544673,161,52,False,True,True
a01-014u-05-06,Mr.,3,mr.,219.62954757462688,134,64,False,True,True
a01-014u-06-04,his,3,his,208.1080091533181,115,57,False,True,True
a01-014u-07-00,a,1,a,174.57506493506492,55,35,False,True,True
a01-014u-07-02,on,2,on,182.7413609782031,99,38,False,True,True
a01-014u-07-03,his,3,his,206.630737575182,117,54,False,True,True
a01-014u-07-05,with,4,with,213.88866666666667,175,60,False,True,True
a01-014u-07-06,Mr.,3,mr.,218.03535353535355,120,66,False,True,True
a01-014u-08-00,at,2,at,186.8640507332541,87,58,False,True,True
a01-014x-00-05,is,2,is,235.41371640407783,83,65,False,True,True
a01-014x-01-00,the,3,the,218.10834059233449,112,82,False,True,True
a01-014x-01-03,on,2,on,219.83888272290048,106,51,False,True,True
a01-014x-01-04,the,3,the,219.91653005464482,122,60,False,True,True
a01-014x-02-03,Mr.,3,mr.,232.75773809523807,168,80,False,True,True
a01-014x-03-01,We,2,we,217.6982758620689,90,116,False,True,True
a01-014x-03-03,to,2,to,210.5142424242424,44,75,False,True,True
a01-014x-03-05,what,4,what,218.72895061728397,216,75,False,True,True
a01-014x-03-06,to,2,to,209.46647046457846,71,67,False,True,True
a01-014x-03-07,do,2,do,217.2336407553799,99,69,False,True,True
a01-014x-03-08,if,2,if,225.60584204832318,94,118,False,True,True
a01-014x-03-09,the,3,the,215.59411337209306,129,64,False,True,True
a01-014x-04-03,in,2,in,224.1859686233033,93,61,False,True,True
a01-014x-04-04,to,2,to,213.7729716520039,62,66,False,True,True
a01-014x-05-00,and,3,and,224.36584608216202,163,79,False,True,True
a01-014x-05-01,the,3,the,214.81394064872325,115,63,False,True,True
a01-014x-05-07,are,3,are,211.1204481792717,119,42,False,True,True
a01-014x-06-00,to,2,to,216.1416126042632,65,83,False,True,True
a01-014x-06-01,be,2,be,220.26915584415585,77,80,False,True,True
a01-014x-07-03,Mr.,3,mr.,218.5436274509804,144,85,False,True,True
a01-014x-08-00,his,3,his,218.985014985015,121,91,False,True,True
a01-014x-08-02,a,1,a,198.96943396226413,50,53,False,True,True
a01-014x-08-04,on,2,on,207.42038539553752,116,51,False,True,True
a01-014x-08-05,his,3,his,218.99817721518986,125,79,False,True,True
a01-014x-08-07,with,4,with,224.28384742951908,201,75,False,True,True
a01-014x-08-08,Mr.,3,mr.,227.459179099699,161,97,False,True,True
a01-014x-09-01,at,2,at,216.96956901572509,101,68,False,True,True
a01-020-00-00,Mr.,3,mr.,214.9468131868132,91,75,False,True,True
a01-020-00-03,on,2,on,204.1789898989899,75,33,False,True,True
a01-020-00-04,with,4,with,226.23666666666668,125,60,False,True,True
a01-020-00-05,the,3,the,216.02075080173555,93,57,False,True,True
a01-020-00-07,at,2,at,210.75246710526315,76,48,False,True,True
a01-020-01-03,the,3,the,217.55508935508936,99,65,False,True,True
a01-020-01-05,which,5,which,221.66693242973892,173,58,False,True,True
a01-020-01-06,had,3,had,220.32361355633802,142,64,False,True,True
a01-020-02-01,up,2,up,211.44868154158212,85,58,False,True,True
a01-020-02-03,He,2,he,210.38344671201813,70,63,False,True,True
a01-020-02-04,has,3,has,222.2576929405957,103,59,False,True,True
a01-020-02-05,now,3,now,215.5866606170599,116,38,False,True,True
a01-020-02-07,his,3,his,217.7768838304553,91,56,False,True,True
a01-020-03-00,to,2,to,209.00376068376067,45,65,False,True,True
a01-020-03-01,the,3,the,212.9027417027417,99,70,False,True,True
a01-020-03-03,and,3,and,211.79107142857143,140,48,False,True,True
a01-020-04-01,do,2,do,201.75378787878788,77,48,False,True,True
a01-020-04-02,not,3,not,218.3830218068536,107,60,False,True,True
a01-020-04-04,the,3,the,211.2103389830509,100,59,False,True,True
a01-020-04-06,the,3,the,216.4256894049347,106,65,False,True,True
a01-020-05-01,they,4,they,225.260184813178,131,95,False,True,True
a01-020-05-02,are,3,are,206.6976389946687,101,39,False,True,True
a01-020-06-00,are,3,are,204.65127465127463,99,42,False,True,True
a01-020-06-02,them,4,them,220.64095904095902,154,65,False,True,True
a01-020-06-05,The,3,the,218.41049475262366,115,58,False,True,True
a01-020-07-00,will,4,will,216.6999219359875,105,61,False,True,True
a01-020-07-02,to,2,to,206.5997023809524,56,60,False,True,True
a01-020-07-04,the,3,the,216.21093951093948,111,70,False,True,True
a01-020-07-06,of,2,of,217.5342592592593,80,81,False,True,True
a01-020-07-07,a,1,a,210.3782153064465,67,47,False,True,True
a01-020-08-02,of,2,of,217.34689233394963,89,79,False,True,True
a01-020u-00-00,Mr.,3,mr.,206.77074898785423,104,57,False,True,True
a01-020u-00-03,on,2,on,176.1102077687444,82,27,False,True,True
a01-020u-00-04,with,4,with,218.6734595325478,167,62,False,True,True
a01-020u-00-05,the,3,the,200.6373384253819,148,46,False,True,True
a01-020u-01-00,at,2,at,190.177139313766,82,59,False,True,True
a01-020u-01-04,the,3,the,205.8810279667423,135,49,False,True,True
a01-020u-02-00,which,5,which,210.0794767090139,232,57,False,True,True
a01-020u-02-01,had,3,had,199.60430160087986,167,49,False,True,True
a01-020u-02-03,up,2,up,179.30576923076924,80,39,False,True,True
a01-020u-02-05,He,2,he,200.68375607123585,109,51,False,True,True
a01-020u-02-06,has,3,has,197.5736607142857,128,49,False,True,True
a01-020u-02-07,now,3,now,185.5257834521638,163,37,False,True,True
a01-020u-03-00,his,3,his,206.4607928240741,128,54,False,True,True
